,State,Number_feature,Time_Step,number_layers,number_hiddinen_nodes,MAE,RMSE,R2_Score
1812,Tamil-Nadu,2,5,3,1,0.39738771319389343,0.46037044235571173,-2.9224639087647253
1813,Tamil-Nadu,2,5,3,5,0.3987080752849579,0.46158463907318265,-2.9431814785297292
1814,Tamil-Nadu,2,5,3,8,0.3961438238620758,0.4591395663602476,-2.901517378950834
1815,Tamil-Nadu,2,5,3,16,0.3989604711532593,0.4617681131584696,-2.946317162509292
1816,Tamil-Nadu,2,5,3,32,0.3951457142829895,0.4580994861987117,-2.8838613437485567
1817,Tamil-Nadu,2,5,3,64,0.39569464325904846,0.4586182777825002,-2.8926633098471046
1818,Tamil-Nadu,2,7,1,1,0.23293672502040863,0.2879786922168795,-0.561499969125286
1819,Tamil-Nadu,2,7,1,5,0.11508917063474655,0.143448719175969,0.6125509277948205
1820,Tamil-Nadu,2,7,1,8,0.15122482180595398,0.18762913866199246,0.33713991321563186
1821,Tamil-Nadu,2,7,1,16,0.11099517345428467,0.13594192793639073,0.6520409723336166
1822,Tamil-Nadu,2,7,1,32,0.09985901415348053,0.121443470357799,0.7223039652261551
1823,Tamil-Nadu,2,7,1,64,0.10705402493476868,0.12908457934334566,0.6862599064076422
1824,Tamil-Nadu,2,7,2,1,0.40422630310058594,0.4649366558419579,-3.0701354681279467
1825,Tamil-Nadu,2,7,2,5,0.3791966140270233,0.4406426669698042,-2.6559005574671484
1826,Tamil-Nadu,2,7,2,8,0.39779937267303467,0.45895994405453716,-2.966165889544146
1827,Tamil-Nadu,2,7,2,16,0.3639967143535614,0.42568567935776613,-2.4119240663040706
1828,Tamil-Nadu,2,7,2,32,0.3801811933517456,0.4417191636927273,-2.6737849342561693
1829,Tamil-Nadu,2,7,2,64,0.3573950529098511,0.41658067610650495,-2.267529532955292
1830,Tamil-Nadu,2,7,3,1,0.38627296686172485,0.44979960164993443,-2.809424570558645
1831,Tamil-Nadu,2,7,3,5,0.4034092128276825,0.4648618293900771,-3.068825019804386
1832,Tamil-Nadu,2,7,3,8,0.4011024534702301,0.4624584127750816,-3.026861440329805
1833,Tamil-Nadu,2,7,3,16,0.39233940839767456,0.4547158956673414,-2.8931537245006362
1834,Tamil-Nadu,2,7,3,32,0.38924023509025574,0.45196918534845615,-2.8462622860203566
1835,Tamil-Nadu,2,7,3,64,0.39587604999542236,0.4578090309558451,-2.946298991790631
1836,Tamil-Nadu,2,15,1,1,0.2512441873550415,0.29253776638636814,-0.7725286983958022
1837,Tamil-Nadu,2,15,1,5,0.14720682799816132,0.16607410859345792,0.42874079049003966
1838,Tamil-Nadu,2,15,1,8,0.1803048551082611,0.2095158583544236,0.09079222950649335
1839,Tamil-Nadu,2,15,1,16,0.12821915745735168,0.1505755488947314,0.5303890268109805
1840,Tamil-Nadu,2,15,1,32,0.13979782164096832,0.1616387948199464,0.45884640498826723
1841,Tamil-Nadu,2,15,1,64,0.12062103301286697,0.13952987813328574,0.5967598414823427
1842,Tamil-Nadu,2,15,2,1,0.40836983919143677,0.46349186218961197,-3.4495243283898835
1843,Tamil-Nadu,2,15,2,5,0.37942296266555786,0.43376609882303985,-2.8970912077518873
1844,Tamil-Nadu,2,15,2,8,0.3879554569721222,0.44398912581990235,-3.0829494481830375
1845,Tamil-Nadu,2,15,2,16,0.35593125224113464,0.40811252957580285,-2.4497627462404266
1846,Tamil-Nadu,2,15,2,32,0.36229535937309265,0.41429171425721517,-2.5550185662926475
1847,Tamil-Nadu,2,15,2,64,0.3164161741733551,0.36284098044365065,-1.7268551520643234
1848,Tamil-Nadu,2,15,3,1,0.4149562120437622,0.46954140612492634,-3.566433525128886
1849,Tamil-Nadu,2,15,3,5,0.4069681763648987,0.46226649317966906,-3.426028304710651
1850,Tamil-Nadu,2,15,3,8,0.4096505343914032,0.46514876160057506,-3.4813934106660334
1851,Tamil-Nadu,2,15,3,16,0.4000064730644226,0.4558813513105996,-3.3046021050376693
1852,Tamil-Nadu,2,15,3,32,0.3958033621311188,0.45160263107591775,-3.224179184393834
1853,Tamil-Nadu,2,15,3,64,0.40377679467201233,0.4594623106421124,-3.3724932471749387
1854,Tamil-Nadu,2,30,1,1,0.2631123960018158,0.29593763941567186,-1.5668009266189564
1855,Tamil-Nadu,2,30,1,5,0.2511708438396454,0.2640100641499735,-1.0428321942214782
1856,Tamil-Nadu,2,30,1,8,0.27347639203071594,0.28770597584444757,-1.4259930011878543
1857,Tamil-Nadu,2,30,1,16,0.24947866797447205,0.26126412148160233,-1.0005586626602332
1858,Tamil-Nadu,2,30,1,32,0.2378595918416977,0.24676147578993896,-0.7846231392099283
1859,Tamil-Nadu,2,30,1,64,0.20759285986423492,0.2199463994934909,-0.41783433503659495
1860,Tamil-Nadu,2,30,2,1,0.45377373695373535,0.48986058974333696,-6.03293791400145
1861,Tamil-Nadu,2,30,2,5,0.44307270646095276,0.47952059100334526,-5.739167712662525
1862,Tamil-Nadu,2,30,2,8,0.3493134379386902,0.37773357892273074,-3.1817969845817897
1863,Tamil-Nadu,2,30,2,16,0.38615864515304565,0.42055415966932463,-4.183649749260886
1864,Tamil-Nadu,2,30,2,32,0.2945943772792816,0.32234379369427546,-2.0453024157379467
1865,Tamil-Nadu,2,30,2,64,0.28514689207077026,0.3154100701340656,-1.9157004216200852
1866,Tamil-Nadu,2,30,3,1,0.4685695171356201,0.5036633519699589,-6.434854805486036
1867,Tamil-Nadu,2,30,3,5,0.41833433508872986,0.45730422907136936,-5.12917816542282
1868,Tamil-Nadu,2,30,3,8,0.44621801376342773,0.4826761726078658,-5.828157207311413
1869,Tamil-Nadu,2,30,3,16,0.44640982151031494,0.4828101537703014,-5.831949114303598
1870,Tamil-Nadu,2,30,3,32,0.4304732382297516,0.46724781297730106,-5.398620412911129
1871,Tamil-Nadu,2,30,3,64,0.4416326582431793,0.4773662387026936,-5.678749851899178
1872,Tamil-Nadu,3,5,1,1,0.35329383611679077,0.41482351652468785,-2.184716779045836
1873,Tamil-Nadu,3,5,1,5,0.23295602202415466,0.28114041206717727,-0.4628192029626492
1874,Tamil-Nadu,3,5,1,8,0.1015520766377449,0.12379175608753804,0.7163860835320222
1875,Tamil-Nadu,3,5,1,16,0.1100238785147667,0.1322489098353424,0.6763107326229638
1876,Tamil-Nadu,3,5,1,32,0.1148829385638237,0.13356317817273045,0.6698452098982701
1877,Tamil-Nadu,3,5,1,64,0.1026473119854927,0.12313826890672842,0.719372552249423
1878,Tamil-Nadu,3,5,2,1,0.3864791691303253,0.4533668727540713,-2.8040277472389397
1879,Tamil-Nadu,3,5,2,5,0.3983326256275177,0.4604277297311924,-2.923440079559835
1880,Tamil-Nadu,3,5,2,8,0.401521772146225,0.4641866286754841,-2.9877631609126105
1881,Tamil-Nadu,3,5,2,16,0.3773393929004669,0.4405454665295281,-2.591911115527845
1882,Tamil-Nadu,3,5,2,32,0.38722360134124756,0.4493571524332136,-2.7370374042036563
1883,Tamil-Nadu,3,5,2,64,0.3612201511859894,0.4228006204485514,-2.3083793887671225
1884,Tamil-Nadu,3,5,3,1,0.38974258303642273,0.45375615591281854,-2.8105626657726472
1885,Tamil-Nadu,3,5,3,5,0.3972820043563843,0.4604446071098511,-2.9237276115173825
1886,Tamil-Nadu,3,5,3,8,0.38691186904907227,0.4512727467782082,-2.768966411823095
1887,Tamil-Nadu,3,5,3,16,0.3953160345554352,0.4582820795040642,-2.8869581365480004
1888,Tamil-Nadu,3,5,3,32,0.39342281222343445,0.4566554456252248,-2.8594137353317968
1889,Tamil-Nadu,3,5,3,64,0.3949768841266632,0.4581409090149933,-2.884563726973889
1890,Tamil-Nadu,3,7,1,1,0.3944407105445862,0.45697539550648936,-2.931939889807101
1891,Tamil-Nadu,3,7,1,5,0.14362463355064392,0.16488093639211068,0.4881270450764531
1892,Tamil-Nadu,3,7,1,8,0.16287046670913696,0.19593286221322265,0.2771706181024751
1893,Tamil-Nadu,3,7,1,16,0.11327532678842545,0.13215628662388498,0.6711507363742586
1894,Tamil-Nadu,3,7,1,32,0.12257543951272964,0.14160622556177468,0.6224400064280412
1895,Tamil-Nadu,3,7,1,64,0.14006000757217407,0.15911879866885592,0.5232789979025984
1896,Tamil-Nadu,3,7,2,1,0.4070778787136078,0.46834087001204955,-3.1299555729155157
1897,Tamil-Nadu,3,7,2,5,0.4026956260204315,0.46462863464616927,-3.0647442494381743
1898,Tamil-Nadu,3,7,2,8,0.38066455721855164,0.44202568679064946,-2.6788853443827696
1899,Tamil-Nadu,3,7,2,16,0.3559286296367645,0.4140107464386118,-2.2273383007294845
1900,Tamil-Nadu,3,7,2,32,0.37677863240242004,0.43624343255026465,-2.583265701808757
1901,Tamil-Nadu,3,7,2,64,0.36905649304389954,0.42761817642784744,-2.4429727881819465
1902,Tamil-Nadu,3,7,3,1,0.4043089747428894,0.4654337400579329,-3.078842882661024
1903,Tamil-Nadu,3,7,3,5,0.3958282470703125,0.4580827175940311,-2.9510184983394225
1904,Tamil-Nadu,3,7,3,8,0.3916497826576233,0.45399390144180196,-2.8808004140798324
1905,Tamil-Nadu,3,7,3,16,0.397656112909317,0.45940203230333176,-2.9738098084168283
1906,Tamil-Nadu,3,7,3,32,0.3936132490634918,0.4556636890421292,-2.9094004883496565
1907,Tamil-Nadu,3,7,3,64,0.39242038130760193,0.45408761608078085,-2.8824028807212154
1908,Tamil-Nadu,3,15,1,1,0.4284372627735138,0.48859419902882134,-3.9445406467813466
1909,Tamil-Nadu,3,15,1,5,0.20079977810382843,0.24000768898776695,-0.19310766773171073
1910,Tamil-Nadu,3,15,1,8,0.16323669254779816,0.19188896928254165,0.2373427796973635
1911,Tamil-Nadu,3,15,1,16,0.21867260336875916,0.24111869530916588,-0.20417905118651047
1912,Tamil-Nadu,3,15,1,32,0.2020617127418518,0.22617941565452968,-0.059584298833355476
1913,Tamil-Nadu,3,15,1,64,0.16953067481517792,0.19085460108791658,0.24554278964925758
1914,Tamil-Nadu,3,15,2,1,0.37987446784973145,0.4403270931817257,-3.0158746382311907
1915,Tamil-Nadu,3,15,2,5,0.4042031466960907,0.45785762382213835,-3.3420045815924517
1916,Tamil-Nadu,3,15,2,8,0.3834152817726135,0.4386934453428479,-2.986131437284197
1917,Tamil-Nadu,3,15,2,16,0.22150474786758423,0.2645106220708513,-0.44915751894526856
1918,Tamil-Nadu,3,15,2,32,0.3062892258167267,0.35301673841573117,-1.581189810146216
1919,Tamil-Nadu,3,15,2,64,0.31610313057899475,0.362889273223166,-1.7275810174417279
1920,Tamil-Nadu,3,15,3,1,0.4189954400062561,0.4731191937381333,-3.6362885874399797
1921,Tamil-Nadu,3,15,3,5,0.4095863997936249,0.46417609921167696,-3.4626717124433952
1922,Tamil-Nadu,3,15,3,8,0.39023464918136597,0.4475506203540692,-3.148715928334023
1923,Tamil-Nadu,3,15,3,16,0.400454580783844,0.4565447475786285,-3.317139217071883
1924,Tamil-Nadu,3,15,3,32,0.403088241815567,0.4583079284071656,-3.350548563471537
1925,Tamil-Nadu,3,15,3,64,0.39562109112739563,0.4505441435441217,-3.2044000657503933
1926,Tamil-Nadu,3,30,1,1,0.1765243262052536,0.18356800913442217,0.01238933648466134
1927,Tamil-Nadu,3,30,1,5,0.2071894109249115,0.21647363054421884,-0.3734148403623663
