,State,Number_feature,Time_Step,number_layers,MAE,RMSE,R2_Score
98,Uttar-Pradesh,1,7,1,0.18347248435020447,0.1966107138617169,0.2346050057074862
99,Uttar-Pradesh,1,7,2,0.1151982769370079,0.12862484010328729,0.6724172871072548
100,Uttar-Pradesh,1,15,1,0.18555818498134613,0.1955840416616961,-0.10760793418068304
101,Uttar-Pradesh,1,15,2,0.17765209078788755,0.18349101865042647,0.025125275057149562
102,Uttar-Pradesh,1,30,1,0.19048044085502625,0.1933122442584808,-3.7736694453714983
103,Uttar-Pradesh,1,30,2,0.09903521835803986,0.10268829929727978,-0.34702475684430634
104,Uttar-Pradesh,2,5,1,0.14755478501319885,0.16677392672192118,0.4835524590156048
105,Uttar-Pradesh,2,5,2,0.13182413578033447,0.14514441844365913,0.6088254719426596
106,Uttar-Pradesh,2,7,1,0.17959846556186676,0.19370869188493656,0.25703306684825056
107,Uttar-Pradesh,2,7,2,0.1361638456583023,0.14308071390417385,0.5946470062745454
108,Uttar-Pradesh,2,15,1,0.156324565410614,0.1649584488677606,0.2121050689261893
109,Uttar-Pradesh,2,15,2,0.23550808429718015,0.2438546985958272,-0.7217951335636561
110,Uttar-Pradesh,2,30,1,0.138401061296463,0.14295948967882466,-1.6107166692827786
111,Uttar-Pradesh,2,30,2,0.060412347316741936,0.064599362558137,0.4669227474542638
112,Uttar-Pradesh,3,5,1,0.15378329157829285,0.17117273388799034,0.4559496592101362
113,Uttar-Pradesh,3,5,2,0.12758201360702515,0.13968909945415006,0.6376777991244089
114,Uttar-Pradesh,3,7,1,0.18158335983753204,0.1988513307201,0.21706041276466936
115,Uttar-Pradesh,3,7,2,0.1537153273820877,0.16843807279634485,0.43823879501348384
116,Uttar-Pradesh,3,15,1,0.21332721412181851,0.2231253150328648,-0.4415076119674943
117,Uttar-Pradesh,3,15,2,0.18439002335071564,0.19256558909441013,-0.07368426444339704
118,Uttar-Pradesh,3,30,1,0.28048551082611084,0.283309574510141,-9.253124567625962
119,Uttar-Pradesh,3,30,2,0.26744017004966736,0.2678908866108985,-8.167471145891268
120,Uttar-Pradesh,4,5,1,0.1820247620344162,0.20020523046721536,0.2557467539330397
121,Uttar-Pradesh,4,5,2,0.13576965034008026,0.1514967210331407,0.5738363982719488
122,Uttar-Pradesh,4,7,1,0.1484324038028717,0.17265623985911896,0.4097502598739172
123,Uttar-Pradesh,4,7,2,0.17894864082336426,0.1935171581726572,0.2585016299173261
124,Uttar-Pradesh,4,15,1,0.1429906040430069,0.15763633356483314,0.2804982223267977
125,Uttar-Pradesh,4,15,2,0.18840748071670527,0.2074711552500764,-0.2463346494154004
126,Uttar-Pradesh,4,30,1,0.18037112057209012,0.18364877079262293,-3.3083379924420786
127,Uttar-Pradesh,4,30,2,0.2038191705942154,0.21240229990290047,-4.763047058505176
128,Uttar-Pradesh,5,5,1,0.15263904631137848,0.1808603509172182,0.39262535661968667
129,Uttar-Pradesh,5,5,2,0.13004861772060394,0.14384235053756342,0.6158122861148936
130,Uttar-Pradesh,5,7,1,0.12400195747613907,0.1452766797308345,0.5821089280436033
131,Uttar-Pradesh,5,7,2,0.1851036697626114,0.19558549875218187,0.24256648572356646
132,Uttar-Pradesh,5,15,1,0.10778152197599412,0.11518890890185035,0.6158148975112128
133,Uttar-Pradesh,5,15,2,0.19647005200386047,0.2056383383114876,-0.22441143135554986
134,Uttar-Pradesh,5,30,1,0.21210137009620667,0.22067170214820125,-5.2205240818689145
135,Uttar-Pradesh,5,30,2,0.16012513637542725,0.16915634513907274,-2.6551924807456166
136,Uttar-Pradesh,6,5,1,0.15233789384365082,0.17105639106440546,0.4566889601820893
137,Uttar-Pradesh,6,5,2,0.1262466311454773,0.13585808149558867,0.6572788956833019
138,Uttar-Pradesh,6,7,1,0.181801900267601,0.1996016095884897,0.21114113985636795
139,Uttar-Pradesh,6,7,2,0.15760980546474454,0.16903340793592586,0.4342607247224318
140,Uttar-Pradesh,6,15,1,0.19355329871177676,0.20744126583059053,-0.2459754802882155
141,Uttar-Pradesh,6,15,2,0.1611475795507431,0.17268758204703602,0.1365417392030518
142,Uttar-Pradesh,6,30,1,0.14134177565574646,0.15454783733431995,-2.051122089466657
143,Uttar-Pradesh,6,30,2,0.1876341551542282,0.19744543812761767,-3.979982609850296
144,Kerala,1,5,1,0.08392700552940369,0.10540756022359687,0.7627138050207283
145,Kerala,1,5,2,0.0913357213139534,0.11009246233967523,0.7411523927060203
146,Kerala,1,7,1,0.11501710116863252,0.1352266291025835,0.59910624134511
147,Kerala,1,7,2,0.10136079043149948,0.12267478814927894,0.6700747642826617
148,Kerala,1,15,1,0.1252351701259613,0.14094310782117395,0.4942493790105204
149,Kerala,1,15,2,0.16066281497478485,0.17443495814283475,0.22533169736971825
150,Kerala,1,30,1,0.11982039362192155,0.12983962466759325,0.2257900869662597
151,Kerala,1,30,2,0.16958804428577426,0.17482182083130407,-0.4035747350796406
152,Kerala,2,5,1,0.10757331550121307,0.13260403569308174,0.6244718921792106
153,Kerala,2,5,2,0.10813584923744203,0.12466086262646342,0.6681137911322601
154,Kerala,2,7,1,0.08521780371665955,0.10168800027656234,0.7733037783757728
155,Kerala,2,7,2,0.12461743503808975,0.1478709274974287,0.520630455237699
156,Kerala,2,15,1,0.11339443176984787,0.1326245984238559,0.5521868214751197
157,Kerala,2,15,2,0.1118852198123932,0.12907867748205526,0.575812697910081
158,Kerala,2,30,1,0.1385148912668228,0.14326269595405125,0.057436701149275675
159,Kerala,2,30,2,0.17828711867332458,0.1832421568262859,-0.5420380097857194
160,Kerala,3,5,1,0.1118076592683792,0.1321182900820887,0.6272180420988651
161,Kerala,3,5,2,0.13497090339660645,0.1583106182037752,0.4647593654730952
162,Kerala,3,7,1,0.1349581778049469,0.1532610395991811,0.4850461014086141
163,Kerala,3,7,2,0.0909608080983162,0.10528361000638424,0.7569887514753237
164,Kerala,3,15,1,0.13384795188903809,0.14941141961446802,0.4316494612197338
165,Kerala,3,15,2,0.20647044479846954,0.23028203707128375,-0.35010891289961443
166,Kerala,3,30,1,0.08489557355642319,0.09447051374913344,0.590138776313049
167,Kerala,3,30,2,0.13230565190315247,0.1337280969867673,0.17872322134146568
168,Kerala,4,5,1,0.1292314976453781,0.14967480516059445,0.5215611967677518
169,Kerala,4,5,2,0.08013936877250671,0.09599579125140348,0.803196247160892
170,Kerala,4,7,1,0.10515742003917694,0.1302556873679668,0.6280383159230256
171,Kerala,4,7,2,0.0536833181977272,0.0637348349382321,0.9109449292157206
172,Kerala,4,15,1,0.1437978446483612,0.15991231903761302,0.34895267711832023
173,Kerala,4,15,2,0.06340064853429794,0.07327221572757057,0.8633129605459892
174,Kerala,4,30,1,0.16119566559791565,0.1701343567129949,-0.3293161010511532
175,Kerala,4,30,2,0.22467468678951266,0.2420350948838566,-1.6903013878141355
176,Kerala,5,5,1,0.10194332897663116,0.13159591583429978,0.6301600752662428
177,Kerala,5,5,2,0.10167030990123747,0.11732274437008593,0.7060365206280068
178,Kerala,5,7,1,0.0949459969997406,0.1162600173210486,0.7036768607740906
179,Kerala,5,7,2,0.15160943567752838,0.18494303978244786,0.2501388981155083
180,Kerala,5,15,1,0.12273547798395155,0.1472255141174608,0.4481578063583814
181,Kerala,5,15,2,0.1312730312347412,0.14410161909483338,0.4713278810289877
182,Kerala,5,30,1,0.12028290331363678,0.13695917787466538,0.13855697954805726
183,Kerala,5,30,2,0.10975352674722673,0.12152673237403942,0.3217530080968615
184,Kerala,6,5,1,0.0916021093726158,0.109268494248545,0.7450125077717532
185,Kerala,6,5,2,0.08714570850133896,0.10789040345867376,0.7514037310843875
186,Kerala,6,7,1,0.11926001310348512,0.1452088132220493,0.5377352024384014
187,Kerala,6,7,2,0.0896763727068901,0.10027504531439198,0.7795599095282071
188,Kerala,6,15,1,0.09125155210494997,0.1143037548784551,0.6673636209627867
189,Kerala,6,15,2,0.11273311078548433,0.12533592742385352,0.6000553296573614
190,Kerala,6,30,1,0.060360357165336616,0.06951208975752676,0.7780961143185255
191,Kerala,6,30,2,0.22283971309661865,0.2371058710458387,-1.5818374683239158
192,Tamil-Nadu,1,5,1,0.09864940494298936,0.12666314091397465,0.7030764508320284
193,Tamil-Nadu,1,5,2,0.08964609354734421,0.1027899760282298,0.8044554927041729
194,Tamil-Nadu,1,7,1,0.101735882461071,0.1297358491692767,0.6830860987768288
195,Tamil-Nadu,1,7,2,0.06867837905883789,0.08720634637459053,0.8568084228501858
196,Tamil-Nadu,1,15,1,0.12580405175685885,0.14847617523897566,0.5433926802796412
197,Tamil-Nadu,1,15,2,0.13046927750110626,0.1482401275994244,0.5448433343157275
198,Tamil-Nadu,1,30,1,0.15997712314128876,0.17136311708185192,0.13935013640496785
199,Tamil-Nadu,1,30,2,0.10267346352338792,0.11417045677320138,0.617968374950584
200,Tamil-Nadu,2,5,1,0.12371793389320375,0.15012623099831648,0.5828835916367157
201,Tamil-Nadu,2,5,2,0.07146985828876495,0.08975729203121012,0.8508979612748643
202,Tamil-Nadu,2,7,1,0.13785739243030548,0.15875006545245707,0.5254858922704632
203,Tamil-Nadu,2,7,2,0.16535557806491852,0.1816932437934948,0.3784175121362336
204,Tamil-Nadu,2,15,1,0.12951461970806122,0.14973709615770284,0.5356043052748907
205,Tamil-Nadu,2,15,2,0.1640629768371582,0.19414478274523467,0.21930610556395946
206,Tamil-Nadu,2,30,1,0.097235806286335,0.11161054376120792,0.6349080800360152
207,Tamil-Nadu,2,30,2,0.12129762768745422,0.12701415282381873,0.5271797539305535
208,Tamil-Nadu,3,5,1,0.13112209737300873,0.15387101496216324,0.5618147722456519
209,Tamil-Nadu,3,5,2,0.1292881816625595,0.15517730256013693,0.5543432361891343
210,Tamil-Nadu,3,7,1,0.16147682070732114,0.18649579387554632,0.3451236369886613
211,Tamil-Nadu,3,7,2,0.12988033890724182,0.1570903650199516,0.53535600034675
212,Tamil-Nadu,3,15,1,0.07995946705341339,0.09844666563232844,0.7992611670359318
213,Tamil-Nadu,3,15,2,0.21122746169567108,0.2369201590185245,-0.16260832057616614
214,Tamil-Nadu,3,30,1,0.23279915750026706,0.2441049702358105,-0.7464053623453009
215,Tamil-Nadu,3,30,2,0.24756628274917605,0.2660704272000825,-1.0748415859042382
216,Tamil-Nadu,4,5,1,0.07386310398578644,0.10361750106056536,0.8012943023552033
217,Tamil-Nadu,4,5,2,0.11782119423151015,0.13774813998155638,0.6488314784056937
218,Tamil-Nadu,4,7,1,0.09744077175855637,0.1267863719019347,0.6973320493198325
219,Tamil-Nadu,4,7,2,0.13131150603294373,0.15120059043744394,0.5695445155033881
220,Tamil-Nadu,4,15,1,0.1813478171825409,0.20373123740767188,0.1403045863255361
221,Tamil-Nadu,4,15,2,0.10743177682161333,0.13154154509840935,0.6416105643740234
222,Tamil-Nadu,4,30,1,0.16468766331672668,0.1923502686369765,-0.08436977866954609
223,Tamil-Nadu,4,30,2,0.1632789969444275,0.1945140922976896,-0.10890387604167318
