,State,Number_feature,Time_Step,number_layers,kernel_size,MAE,RMSE,R2_Score
180,Maharashtra,2,7,2,1,0.0238012857735157,0.02641867868358504,0.9246575520714067
181,Maharashtra,2,7,2,2,0.130157932639122,0.13409953048326592,-0.9412079452405835
182,Maharashtra,2,7,2,3,0.12762977182865143,0.13119813143944914,-0.8581159770517979
183,Maharashtra,2,7,2,4,0.11364905536174774,0.11865680984443361,-0.5198575988051788
184,Maharashtra,2,7,3,1,0.02012530155479908,0.02597179588704974,0.927184893473311
185,Maharashtra,2,7,3,2,0.10710399597883224,0.11185655331239865,-0.350642430914355
186,Maharashtra,2,7,3,3,0.02732701413333416,0.03312647435836596,0.8815410212438028
187,Maharashtra,2,7,3,4,0.03213827311992645,0.041613003451523814,0.8130714414412906
188,Maharashtra,2,7,4,1,0.161865234375,0.16193232577113553,-1.8306400074553322
189,Maharashtra,2,7,4,2,0.05299621820449829,0.057697819604942385,0.640634491190121
190,Maharashtra,2,7,4,3,0.20465102791786194,0.20852955676945853,-3.6941052284169977
191,Maharashtra,2,7,4,4,0.1011086031794548,0.10875412004849283,-0.27675904953755515
192,Maharashtra,3,5,2,1,0.09061995893716812,0.09108758893288074,0.297314206652298
193,Maharashtra,3,5,2,2,0.022965462878346443,0.024824993530761317,0.9478059462945881
194,Maharashtra,3,5,2,3,0.1038130596280098,0.10924937492853032,-0.01083581472985129
195,Maharashtra,3,5,2,4,0.17391516268253326,0.1768972468623124,-1.6502380454657701
196,Maharashtra,3,5,3,1,0.016309745609760284,0.02060369092946442,0.9640471952250651
197,Maharashtra,3,5,3,2,0.24757535755634308,0.2504822877163145,-4.313696762072477
198,Maharashtra,3,5,3,3,0.09087297320365906,0.09132800176463693,0.29360002794905526
199,Maharashtra,3,5,3,4,0.057783957570791245,0.060444892087541564,0.6905703298998495
200,Maharashtra,3,5,4,1,0.0328192375600338,0.03651671156431699,0.8870656597699809
201,Maharashtra,3,5,4,2,0.08766525238752365,0.09075380782146385,0.30245457908702644
202,Maharashtra,3,5,4,3,0.30115678906440735,0.30642769339234327,-6.952409016034408
203,Maharashtra,3,5,4,4,0.14855265617370605,0.15813040533740697,-1.1177444082917352
204,Maharashtra,3,7,2,1,0.05332715064287186,0.05407589766732907,0.6843360495622718
205,Maharashtra,3,7,2,2,0.013213543221354485,0.014319239445990622,0.9778661253336612
206,Maharashtra,3,7,2,3,0.04504835978150368,0.05033917757873614,0.726454365534804
