,State,Number_feature,Time_Step,number_layers,kernel_size,MAE,RMSE,R2_Score
659,Uttar-Pradesh,2,15,4,4,0.09884899854660034,0.10220898680854516,0.6975194972576844
660,Uttar-Pradesh,2,30,2,1,0.41783565282821655,0.4264094766429741,-22.226694810822455
661,Uttar-Pradesh,2,30,2,2,0.018833013251423836,0.020300381655106507,0.9473568262580343
662,Uttar-Pradesh,2,30,2,3,0.09086277335882187,0.09455218930487336,-0.14202836474368485
663,Uttar-Pradesh,2,30,2,4,0.09194587916135788,0.09559371591556785,-0.16732651711185964
664,Uttar-Pradesh,2,30,3,1,0.03308125585317612,0.03983334283856886,0.7973123957889072
665,Uttar-Pradesh,2,30,3,2,0.16102705895900726,0.1699000596698591,-2.6874042642667897
666,Uttar-Pradesh,2,30,3,3,0.10842890292406082,0.1120008837540492,-0.6024208611856845
667,Uttar-Pradesh,2,30,3,4,0.12906524538993835,0.13322085824649887,-1.2671389798459303
668,Uttar-Pradesh,2,30,4,1,0.07470988482236862,0.07776695699625996,0.22745469837773158
669,Uttar-Pradesh,2,30,4,2,0.03388788551092148,0.03864953378310436,0.8091807488503688
670,Uttar-Pradesh,2,30,4,3,0.03391871228814125,0.0360294293554061,0.834175604970782
671,Uttar-Pradesh,2,30,4,4,0.14050732553005219,0.1456643421112102,-1.7104430509810133
672,Uttar-Pradesh,3,5,2,1,0.20105956494808197,0.22139997943190606,0.08982474511731164
673,Uttar-Pradesh,3,5,2,2,0.1515122801065445,0.16633250903994473,0.48628270889774194
674,Uttar-Pradesh,3,5,2,3,0.1381223350763321,0.15194309564358308,0.5713213237521799
675,Uttar-Pradesh,3,5,2,4,0.1598913073539734,0.17607331384139596,0.42435201611311557
676,Uttar-Pradesh,3,5,3,1,0.1680128425359726,0.18476010207456456,0.3661502775560652
677,Uttar-Pradesh,3,5,3,2,0.2016478180885315,0.21663812031279892,0.12855566050017297
678,Uttar-Pradesh,3,5,3,3,0.21677325665950775,0.23306951129634837,-0.008650741090507008
679,Uttar-Pradesh,3,5,3,4,0.17935246229171753,0.19784655814135446,0.27318000757073624
680,Uttar-Pradesh,3,5,4,1,0.15662842988967896,0.17260928335089834,0.4467795998756492
681,Uttar-Pradesh,3,5,4,2,0.19186869263648987,0.20926175471073383,0.18688942950453336
682,Uttar-Pradesh,3,5,4,3,0.19175268709659576,0.20931928306084124,0.18644221872435396
683,Uttar-Pradesh,3,5,4,4,0.1593220829963684,0.17347590519575054,0.44121055065805814
684,Uttar-Pradesh,3,7,2,1,0.23996339738368988,0.2534972491312594,-0.27238257757222417
685,Uttar-Pradesh,3,7,2,2,0.16388624906539917,0.17844251892861265,0.3695248630254777
686,Uttar-Pradesh,3,7,2,3,0.2414069026708603,0.2534831409773493,-0.27224099141357594
687,Uttar-Pradesh,3,7,2,4,0.13373665511608124,0.14533579983084677,0.5817688062826438
688,Uttar-Pradesh,3,7,3,1,0.26161301136016846,0.2791620075610421,-0.5430634868185222
689,Uttar-Pradesh,3,7,3,2,0.226035013794899,0.24270036446228058,-0.16630491997024466
690,Uttar-Pradesh,3,7,3,3,0.17420145869255066,0.19004716846079908,0.28485513506481697
691,Uttar-Pradesh,3,7,3,4,0.19071044027805328,0.20458056626873258,0.17129485592184013
692,Uttar-Pradesh,3,7,4,1,0.18497030436992645,0.20167014071891518,0.1947059676178201
693,Uttar-Pradesh,3,7,4,2,0.1930554360151291,0.21133453479290193,0.11567441516542676
694,Uttar-Pradesh,3,7,4,3,0.18932969868183136,0.20489807399351415,0.16872064286974997
695,Uttar-Pradesh,3,7,4,4,0.23721849918365479,0.25404433383722996,-0.2778805581884838
696,Uttar-Pradesh,3,15,2,1,0.16356158256530762,0.17558416868513385,0.10733218198587835
697,Uttar-Pradesh,3,15,2,2,0.19443079829216003,0.2075678152123432,-0.24749627369462623
698,Uttar-Pradesh,3,15,2,3,0.221166729927063,0.23001530053464575,-0.5319080261749751
699,Uttar-Pradesh,3,15,2,4,0.188617542386055,0.2009699650785419,-0.16944968683818384
700,Uttar-Pradesh,3,15,3,1,0.2061919867992401,0.21612020516799388,-0.3524150030664801
701,Uttar-Pradesh,3,15,3,2,0.2563674747943878,0.265904630003556,-1.0472506971383044
702,Uttar-Pradesh,3,15,3,3,0.20396552979946136,0.21650847592346983,-0.35727849075274287
703,Uttar-Pradesh,3,15,3,4,0.25666677951812744,0.2655912686416186,-1.0424284345406862
704,Uttar-Pradesh,3,15,4,1,0.32439497113227844,0.3379897705327476,-2.3077018539553906
705,Uttar-Pradesh,3,15,4,2,0.2467014342546463,0.25812162304717473,-0.9291589154230304
706,Uttar-Pradesh,3,15,4,3,0.24939075112342834,0.25962092736364584,-0.9516350683549952
707,Uttar-Pradesh,3,15,4,4,0.15266892313957214,0.163037115772815,0.23035188695466335
708,Uttar-Pradesh,3,30,2,1,0.32653549313545227,0.33131121933435353,-13.021871130424863
709,Uttar-Pradesh,3,30,2,2,0.08656691014766693,0.09191401089700466,-0.07918786108892761
710,Uttar-Pradesh,3,30,2,3,0.2028028666973114,0.21155835547677052,-4.717340452369284
711,Uttar-Pradesh,3,30,2,4,0.272732675075531,0.27800651394550296,-8.872875090909785
712,Uttar-Pradesh,3,30,3,1,0.22699378430843353,0.22851405183951604,-5.670517396879657
713,Uttar-Pradesh,3,30,3,2,0.3363114297389984,0.3435408107433834,-14.07614801180588
714,Uttar-Pradesh,3,30,3,3,0.2774862051010132,0.281603683503908,-9.130020579159545
715,Uttar-Pradesh,3,30,3,4,0.13656844198703766,0.14009170606808244,-1.5070239281649185
716,Uttar-Pradesh,3,30,4,1,0.30295050144195557,0.3039452486095746,-10.801152095310512
717,Uttar-Pradesh,3,30,4,2,0.21190060675144196,0.21859603811106756,-5.104051862976612
718,Uttar-Pradesh,3,30,4,3,0.313283234834671,0.31640192900167885,-11.788273873030999
719,Uttar-Pradesh,3,30,4,4,0.22234854102134705,0.22567127314651528,-5.50558322443772
720,Uttar-Pradesh,4,5,2,1,0.24362637102603912,0.2638952651145863,-0.29310291737233385
721,Uttar-Pradesh,4,5,2,2,0.2680448293685913,0.28832364377974856,-0.5435845837132929
722,Uttar-Pradesh,4,5,2,3,0.14602969586849213,0.16660095697719998,0.4846232300366512
723,Uttar-Pradesh,4,5,2,4,0.20223857462406158,0.22551446253005752,0.055681085855886714
724,Uttar-Pradesh,4,5,3,1,0.251850962638855,0.2727748197684131,-0.38158769521904823
725,Uttar-Pradesh,4,5,3,2,0.2436334490776062,0.260398452439705,-0.25906077105156
726,Uttar-Pradesh,4,5,3,3,0.15758618712425232,0.17468918015622312,0.4333669189164495
727,Uttar-Pradesh,4,5,3,4,0.24045105278491974,0.25537030601015276,-0.2109067546573664
728,Uttar-Pradesh,4,5,4,1,0.3920689523220062,0.42453532832281876,-2.3465522164213204
729,Uttar-Pradesh,4,5,4,2,0.2026357650756836,0.23046460390402554,0.013769663146477762
730,Uttar-Pradesh,4,5,4,3,0.19144535064697266,0.2115871439178467,0.1687178913720897
731,Uttar-Pradesh,4,5,4,4,0.201887309551239,0.22015288638055822,0.10004931655649485
732,Uttar-Pradesh,4,7,2,1,0.1598168909549713,0.17336513710846535,0.4048934378883817
733,Uttar-Pradesh,4,7,2,2,0.36079978942871094,0.37877904585452016,-1.840815951068084
734,Uttar-Pradesh,4,7,2,3,0.24742498993873596,0.26293401260910476,-0.3688781114884041
735,Uttar-Pradesh,4,7,2,4,0.30997955799102783,0.3279382196785279,-1.1293903970147716
736,Uttar-Pradesh,4,7,3,1,0.3851538300514221,0.41582765944527256,-2.423717819509548
737,Uttar-Pradesh,4,7,3,2,0.3341783285140991,0.3606557828303393,-1.5754730625478923
738,Uttar-Pradesh,4,7,3,3,0.24909855425357819,0.279345008063756,-0.5450873672766929
739,Uttar-Pradesh,4,7,3,4,0.19705596566200256,0.2145684732844087,0.08840257196506374
740,Uttar-Pradesh,4,7,4,1,0.3586675822734833,0.3916859904385396,-2.037717176044862
741,Uttar-Pradesh,4,7,4,2,0.29070669412612915,0.30971399817479467,-0.8992971600218669
742,Uttar-Pradesh,4,7,4,3,0.19856111705303192,0.21718282969002192,0.06605300680005799
743,Uttar-Pradesh,4,7,4,4,0.26997697353363037,0.2850131106707265,-0.6084252594714916
744,Uttar-Pradesh,4,15,2,1,0.30846652388572693,0.31857527684437165,-1.9386191112255675
745,Uttar-Pradesh,4,15,2,2,0.2837159335613251,0.3014420891550269,-1.631037052280806
746,Uttar-Pradesh,4,15,2,3,0.3016676902770996,0.3224544318852404,-2.010619299184632
747,Uttar-Pradesh,4,15,2,4,0.28367313742637634,0.3149240533350729,-1.871645795428324
748,Uttar-Pradesh,4,15,3,1,0.49098122119903564,0.5073520333354337,-6.453118483966144
749,Uttar-Pradesh,4,15,3,2,0.25465235114097595,0.27300234637544635,-1.1580027807543196
