,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,date
18,Indiana,US,2020-11-12 05:30:39,39.8494,-86.2583,224374,5051,139444.0,80168.0,18.0,3332.838697018027,3307845.0,,2.1223492918074287,84000018.0,USA,49134.542414618416,,2020-11-11
19,Iowa,US,2020-11-12 05:30:39,42.0115,-93.2105,168453,1927,104226.0,62300.0,19.0,5339.1208435945955,958353.0,,1.1439392590218045,84000019.0,USA,30375.015451321207,,2020-11-11
20,Kansas,US,2020-11-12 05:30:39,38.5266,-96.7265,110840,1217,2913.0,106857.0,20.0,3807.2792702743336,703647.0,,1.0349988279629998,84000020.0,USA,24152.80330235601,,2020-11-11
21,Kentucky,US,2020-11-12 05:30:39,37.6681,-84.6701,127344,1604,23165.0,102575.0,21.0,2850.342896626499,2105559.0,,1.259580349290112,84000021.0,USA,47128.76255715224,,2020-11-11
22,Louisiana,US,2020-11-12 05:30:39,31.1695,-91.8678,194702,6058,172210.0,16434.0,22.0,4188.226021630556,2924923.0,,3.1114215570461528,84000022.0,USA,62917.88795115464,,2020-11-11
23,Maine,US,2020-11-12 05:30:39,44.6939,-69.3819,8202,158,6226.0,2719.0,23.0,677.2741204512382,704573.0,,1.7464850615114236,84000023.0,USA,52415.31841703541,,2020-11-11
24,Maryland,US,2020-11-12 05:30:39,39.0639,-76.8021,158423,4249,8313.0,145861.0,24.0,2620.4331026451946,3729915.0,,2.6820600544112922,84000024.0,USA,61695.54127906207,,2020-11-11
25,Massachusetts,US,2020-11-12 05:30:39,42.2302,-71.5301,177541,10222,131646.0,35673.0,25.0,2575.8566953108325,6906649.0,,5.757543328020008,84000025.0,USA,100205.23748774576,,2020-11-11
26,Michigan,US,2020-11-12 05:30:39,43.3266,-84.5361,251872,8136,128981.0,114755.0,26.0,2522.034710219641,5482476.0,,3.230212171261593,84000026.0,USA,54896.91101014063,,2020-11-11
27,Minnesota,US,2020-11-12 05:30:39,45.6945,-93.9002,194570,2810,157164.0,34596.0,27.0,3450.0478045376008,3150108.0,,1.4442103099141697,84000027.0,USA,55856.623269035976,,2020-11-11
28,Mississippi,US,2020-11-12 05:30:39,32.7416,-89.6787,129394,3497,111430.0,14467.0,28.0,4347.698989533118,1003257.0,,2.7025982657619365,84000028.0,USA,33709.90498123582,,2020-11-11
29,Missouri,US,2020-11-12 05:30:39,38.4561,-92.2884,234519,3347,,221335.0,29.0,3660.556180862733,2705205.0,,1.4817683295944166,84000029.0,USA,44077.176954255105,,2020-11-11
30,Montana,US,2020-11-12 05:30:39,46.9219,-110.4544,42070,472,24594.0,17004.0,30.0,3936.271143305719,547728.0,,1.1219396244354651,84000030.0,USA,51248.0608695164,,2020-11-11
31,Nebraska,US,2020-11-12 05:30:39,41.1254,-98.2681,89942,731,49761.0,39450.0,31.0,4649.587884251926,1071705.0,,0.8127459918614218,84000031.0,USA,55402.221248051086,,2020-11-11
32,Nevada,US,2020-11-12 05:30:39,38.3135,-117.0554,113411,1877,2560.0,108974.0,32.0,3681.988834331768,1362884.0,,1.6550422798493971,84000032.0,USA,44247.23942553558,,2020-11-11
33,New Hampshire,US,2020-11-12 05:30:39,43.4525,-71.5639,13102,492,10233.0,2427.0,33.0,967.2643672074432,673987.0,,3.740875912408759,84000033.0,USA,49568.400932256925,,2020-11-11
34,New Jersey,US,2020-11-12 05:30:39,40.2989,-74.521,282233,16476,38586.0,208433.0,34.0,2966.554419574452,5084793.0,,6.252870073435927,84000034.0,USA,57247.06406865874,,2020-11-11
35,New Mexico,US,2020-11-12 05:30:39,34.8405,-106.2485,59034,1158,23736.0,34140.0,35.0,2815.3941022372355,1281951.0,,1.9615814615306435,84000035.0,USA,61137.60349556401,,2020-11-11
36,New York,US,2020-11-12 05:30:39,42.1657,-74.9481,545453,33961,81020.0,425984.0,36.0,2780.801931327637,16068566.0,,6.256966716885565,84000036.0,USA,82599.61248225968,,2020-11-11
37,North Carolina,US,2020-11-12 05:30:39,35.6301,-79.8064,300561,4698,261719.0,34144.0,37.0,2865.7379174308667,4460288.0,,1.5630770459241217,84000037.0,USA,42527.19562505411,,2020-11-11
38,North Dakota,US,2020-11-12 05:30:39,47.5289,-99.78399999999999,57373,686,45031.0,11656.0,38.0,7528.652524335291,917951.0,,1.1956843811548987,84000038.0,USA,120456.20959974384,,2020-11-11
39,Northern Mariana Islands,US,2020-11-12 05:30:39,15.0979,145.6739,100,2,29.0,69.0,69.0,181.3433918468011,16567.0,,2.0,580.0,MNP,30043.15972725953,,2020-11-11
40,Ohio,US,2020-11-12 05:30:39,40.3888,-82.7649,267356,5950,191950.0,69783.0,39.0,2287.2248505017496,5009783.0,,2.1031882583521595,84000039.0,USA,42858.58620424156,,2020-11-11
41,Oklahoma,US,2020-11-12 05:30:39,35.5653,-96.9289,142334,1470,119144.0,21720.0,40.0,3597.044304848329,1748137.0,,1.0327820478592606,84000040.0,USA,44178.665954337295,,2020-11-11
42,Oregon,US,2020-11-12 05:30:39,44.571999999999996,-122.0709,52770,742,5870.0,46158.0,41.0,1251.1448674964795,928343.0,,1.4061019518665907,84000041.0,USA,22010.45252465955,,2020-11-11
43,Pennsylvania,US,2020-11-12 05:30:39,40.5908,-77.2098,248015,9136,172791.0,66088.0,42.0,1937.3161467331365,4616587.0,,3.6836481664415457,84000042.0,USA,21341.441552558746,,2020-11-11
44,Puerto Rico,US,2020-11-12 05:30:39,18.2208,-66.5901,39120,901,34032.0,4187.0,72.0,1333.6024173930118,345092.0,,2.303169734151329,630.0,PRI,11764.200547622424,,2020-11-11
45,Rhode Island,US,2020-11-12 05:30:39,41.6809,-71.5118,39776,1266,3020.0,35513.0,44.0,3754.7162865161167,1281145.0,,3.125,84000044.0,USA,120935.63950343653,,2020-11-11
46,South Carolina,US,2020-11-12 05:30:39,33.8569,-80.945,188995,4076,98621.0,86298.0,45.0,3670.722436709439,2000709.0,,2.156670811397127,84000045.0,USA,38858.421734048534,,2020-11-11
47,South Dakota,US,2020-11-12 05:30:39,44.2998,-99.4388,58696,567,40668.0,17461.0,46.0,6634.872871920142,283120.0,,0.965994275589478,84000046.0,USA,32003.291663793618,,2020-11-11
48,Tennessee,US,2020-11-12 05:30:39,35.7478,-86.6923,293381,3761,259438.0,30182.0,47.0,4295.995386850591,3974023.0,,1.2819507739083311,84000047.0,USA,58191.854534677244,,2020-11-11
49,Texas,US,2020-11-12 05:30:39,31.0545,-97.5635,1072157,19849,831800.0,171067.0,48.0,3525.797336525143,9007171.0,,1.9043641229497927,84000048.0,USA,31063.622450374933,,2020-11-11
50,Utah,US,2020-11-12 05:30:39,40.15,-111.8624,139720,678,97269.0,41773.0,49.0,4358.135696100822,1534980.0,,0.4852562267391927,84000049.0,USA,47878.980323510164,,2020-11-11
51,Vermont,US,2020-11-12 05:30:39,44.0459,-72.7107,2535,59,1947.0,529.0,50.0,406.25716158457914,449806.0,,2.32741617357002,84000050.0,USA,72085.56561093223,,2020-11-11
