,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,date,Total_Test_Results,Case_Fatality_Ratio
2450,Washington,US,2020-05-24 02:32:48,47.4009,-121.4905,19265,1075,,18215.0,53.0,252.99107945443225,308358.0,3230.0,5.450298468725668,84000053.0,USA,4049.406866255376,16.766156241889437,2020-05-23,,
2451,West Virginia,US,2020-05-24 02:32:48,38.4912,-80.9545,1705,72,1110.0,523.0,54.0,95.13728505529959,83744.0,,4.222873900293255,84000054.0,USA,4672.830967548979,,2020-05-23,,
2452,Wisconsin,US,2020-05-24 02:32:48,44.2685,-89.6165,14877,507,8688.0,5682.0,55.0,255.5116983721928,194206.0,2292.0,3.407945150231902,84000055.0,USA,3335.477911814887,15.40633192175842,2020-05-23,,
2453,Wyoming,US,2020-05-24 02:32:48,42.756,-107.3025,813,12,551.0,250.0,56.0,140.47297752605144,20034.0,77.0,1.4760147601476017,84000056.0,USA,3461.5444425054297,9.47109471094711,2020-05-23,,
2454,Alabama,US,2020-05-25 02:32:50,32.3182,-86.9023,14676,551,7951.0,5976.0,1.0,295.27745740778704,185799.0,1612.0,3.8057742782152233,84000001.0,USA,3789.353246920114,11.134134548970852,2020-05-24,,
2455,Alaska,US,2020-05-25 02:32:50,61.3707,-152.4044,409,10,358.0,39.0,2.0,55.635675180610896,43507.0,,2.457002457002457,84000002.0,USA,5947.275970719505,,2020-05-24,,
2456,American Samoa,US,2020-05-25 02:32:50,-14.271,-170.132,0,0,,0.0,60.0,0.0,124.0,,,16.0,ASM,222.85724555633442,,2020-05-24,,
2457,Arizona,US,2020-05-25 02:32:50,33.7298,-111.4312,16377,801,4132.0,11444.0,4.0,224.99844409392483,257617.0,1945.0,4.891005678695731,84000004.0,USA,2522.985850390941,11.876412041277401,2020-05-24,,
2458,Arkansas,US,2020-05-25 02:32:50,34.9697,-92.3731,5922,116,4148.0,1658.0,5.0,196.23540826375736,108581.0,598.0,1.9587977034785544,84000005.0,USA,3598.0136549623503,10.097939885173927,2020-05-24,,
2459,California,US,2020-05-25 02:32:50,36.1162,-119.6816,94769,3753,,90266.0,6.0,237.95168396371932,1582745.0,,3.9927674962773883,84000006.0,USA,4005.7098280701643,,2020-05-24,,
2460,Colorado,US,2020-05-25 02:32:50,39.0598,-105.3111,24174,1332,3640.0,19202.0,8.0,419.7796183051281,150051.0,4105.0,5.5100521221146685,84000008.0,USA,2605.623873016579,16.981054024985518,2020-05-24,,
2461,Connecticut,US,2020-05-25 02:32:50,41.5978,-72.7554,40468,3693,7127.0,29648.0,9.0,1135.0558875063914,214136.0,12538.0,9.125728971038846,84000009.0,USA,6006.136392385802,30.98250469506771,2020-05-24,,
2462,Delaware,US,2020-05-25 02:32:50,39.3185,-75.5071,8809,449,4598.0,3885.0,10.0,904.6339770211264,51870.0,,3.7007605857645585,84000010.0,USA,5326.752683401728,,2020-05-24,,
2463,Diamond Princess,US,2020-05-25 02:32:50,,,49,0,,49.0,88888.0,,,,0.0,84088888.0,USA,,,2020-05-24,,
2464,District of Columbia,US,2020-05-25 02:32:50,38.8974,-77.0268,8110,432,1075.0,6603.0,11.0,1149.1337571856286,51991.0,,5.326757090012331,84000011.0,USA,7366.783374825894,,2020-05-24,,
2465,Florida,US,2020-05-25 02:32:50,27.7663,-81.6868,50867,2237,,48630.0,12.0,236.8359385348652,871235.0,9638.0,4.397743134055478,84000012.0,USA,4056.456227208667,18.947451196256907,2020-05-24,,
2466,Georgia,US,2020-05-25 02:32:50,33.0406,-83.6431,42902,1827,,41075.0,13.0,404.0716848146674,481954.0,7439.0,4.258542725280873,84000013.0,USA,4539.27473738213,17.339517971190155,2020-05-24,,
